Title,Municipality,City,State,Estimated Value,Currency,Due Date,Status,AI Confidence,Committee,Meeting Date,Meeting URL,Calendar URL,Opportunity Type,Description,Design Capacity (MGD),Actual Capacity (MGD),Utilization %,Population Growth %,Growth Period,Year Built,Infrastructure Age,Last Upgrade Year,Infrastructure Notes,Recent Bonds,RFP ID
Madera Wastewater Treatment Plant (WWTP) Improvement Project - New Influent Pump Station (IPS) Wet Well Design and Construction Engineering Services,Madera - California,Madera,California,160000,USD,,identified,95,Madera City Council,2025-11-19,https://www.madera.gov/media/b41dshh0/111925-agenda-combined-w-links.pdf,https://www.madera.gov/home/departments/city-clerk/city-council-agendas-meetings/,project_discussion,"The Madera Wastewater Treatment Plant Improvement Project requires additional engineering services for construction phase support and design of a new Influent Pump Station (IPS) wet well, indicating capacity or infrastructure upgrade needs at the WWTP. No specific problem statement such as current flows, capacities, performance issues, or violations detailed. No technical data provided on flow rates (e.g., ML/day), plant capacity, contaminant levels, population served, or infrastructure age. No ",5.5,4,73,3.5,2019-2023,1964,60,2012,"Original construction circa 1964 with major expansions/upgrades in 1976, 1986, 1996, 2012 per city and state reports",,0985000b-287d-4fd1-b2df-2853b0b24166
Madera Wastewater Treatment Plant Aeration System Gearboxes Replacement,Madera - California,Madera,California,145065.25,USD,,identified,90,Madera City Council,2025-12-17,https://www.madera.gov/media/2ltfmbig/121725-final-agenda.pdf,https://www.madera.gov/home/departments/city-clerk/city-council-agendas-meetings/,project_discussion,"The Madera Wastewater Treatment Plant (WWTP) requires replacement of two gearboxes in the aeration system. No specific problem statement provided, such as failures or performance issues, but replacement indicates aging or faulty equipment needing capital upgrade. No technical data like flow rates, capacities, contaminant levels (e.g., BOD, TSS, NH3-N), population served, or infrastructure age mentioned. No regulatory context or violations detailed. Facility is the Madera WWTP; existing treatment",8,4.5,56.25,3.5,2019-2023,1964,60,2014,"Original construction in 1964; major expansions/upgrades in 1986, 1995, and 2014.",,3d533e5d-8e80-4a3d-9cb0-0a644cf109be
Madera Wastewater Treatment Plant Aeration System Gearbox Replacement,Madera - California,Madera,California,145065.25,USD,,identified,85,Madera City Council,2025-12-17,https://www.madera.gov/media/k43fwayi/121725-final-agenda-combined.pdf,https://www.madera.gov/home/departments/city-clerk/city-council-agendas-meetings/,project_discussion,"The City seeks to purchase two replacement gearboxes for the Wastewater Treatment Plant (WWTP) aeration system due to the need for replacement, indicating operational issues with existing equipment. No specific problem statement details like performance failures or violations provided. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age mentioned. No regulatory context or compliance issues detailed. Facility is Madera WWTP; existing trea",8,5.38,67.25,3.5,2019-2023,1962,62,2001,Original construction circa 1962; major expansion to 8 MGD in 2001 per engineering reports and city history,No,19177d58-4721-4122-9083-bb1857ae2a25
Caldwell UV Disinfection System Upgrade - Two UV Channels Replacement,Caldwell - Idaho,Caldwell,Idaho,133219,USD,,identified,95,Caldwell City Council,2026-02-02,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/amended-february-2-2026-caldwell-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,project_discussion,"The City Council is approving a Sole Source Procurement for UV replacement parts to upgrade two UV channels and a Preventative Maintenance Agreement for the UV system with Xylem Water Solutions USA Inc. totaling $133,219.00. This is a capital upgrade project for UV disinfection equipment, likely at a water treatment facility. No problem statement detailing failures, performance issues, or violations is provided. No technical data such as flow rates, capacities, contaminant levels (e.g., E. coli)",,,,15.6,2019-2023,,,,,,e1228e35-d09d-42c3-bc61-48c750a52894
"WRRF Anaerobic Digester Cover Replacement - Wooster, Ohio",Wooster - Ohio,Wooster,Ohio,125000,USD,,identified,95,City Council,2024-01-02,https://www.woosteroh.com/sites/default/files/2023-12/1-2-2024%20Agenda%20Packet.pdf,https://www.woosteroh.com/city-council/city-council-meeting-minutes,project_discussion,"The anaerobic digester cover at the Wooster Regional Water Reclamation Facility (WRRF) recently failed, necessitating emergency replacement to continue land applying biosolids instead of landfilling them. This failure impacts biosolids management, a key part of wastewater treatment processes at the WRRF. No specific flow rates, capacities, contaminant levels, population served, or infrastructure age are mentioned. The project is driven by the need to maintain operational continuity in biosolids ",,,,1.3,2019-2023,,,,,,d206c6f0-09d9-4c18-bfc4-f33c8ee426a8
"Locust Well Miox Chlorine Generation Unit Purchase and Installation - Coeur d'Alene, ID",Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,122575,USD,,identified,95,Coeur d'Alene City Council,2025-12-16,https://www.cdaid.org/files/Council/Packet121625WEB.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,project_discussion,"The City of Coeur d'Alene is approving the low bid and contract with Filtration Technologies for the purchase and installation of a Miox Chlorine Generation Unit at the Locust Well, a key water supply facility. This capital project introduces on-site chlorine generation technology for drinking water disinfection, replacing traditional chemical delivery methods. No specific problem statement, current performance issues, or violations are detailed in the agenda item. No technical data such as flow",,,,9.9,2019-2023,,,,,,e2bbea1a-a741-4dd7-a89d-7186bf8c227c
"City of Camas General Sewer Plan Update (GSPU) - Amendment 1 for Comprehensive Plan Integration, Sewer Basin Redefinition, Hydraulic Model Updates, Capacity Evaluations, and WWTP Modeling",Camas - Washington,Camas,Washington,117829,USD,,identified,95,City Council Workshop,2026-01-05,https://mccmeetings.blob.core.usgovcloudapi.net/camaswa-pubu/MEET-Packet-6d1f5c8ef24347e2ae840ad239883348.pdf,https://www.cityofcamas.us/meetings,planning_stage,"The General Sewer Plan Update is a required Comprehensive Plan chapter demonstrating sufficient sewer capacity for growth from 2026-2046, modeling lift station and pipe capacities, pipe age, future growth areas needing new infrastructure construction, and WWTP capacity via separate facility plan. Additional scope needed due to Comprehensive Plan delays changing land-use, densities, service boundaries impacting wastewater flow projections, hydraulic modeling, capacity evaluations; requires refini",,,,15.4,2019-2023,,,,,,591f1003-f2fb-42a4-932f-f468d89144f0
City of Camas General Sewer Plan (GSP) Update - Amendment 1 to Carollo Engineers,Camas - Washington,Camas,Washington,117829,USD,,identified,90,City Council Regular Meeting,2026-02-02,https://mccmeetings.blob.core.usgovcloudapi.net/camaswa-pubu/MEET-Packet-455a374588c548a797dbff8af72bf321.pdf,https://www.cityofcamas.us/meetings,planning_stage,"The City is updating its General Sewer Plan (GSP) concurrent with 2045 Comprehensive Plan to demonstrate sufficient wastewater collection and treatment capacity for existing and projected 20-year growth, evaluating sewer basins, collection system capacity, lift stations, and WWTP performance for capital improvements. Original November 2024 agreement with Carollo Engineers $583,298; revisions to land use, densities, service areas required revisiting flow projections, hydraulic modeling, basin bou",,,,15.4,2019-2023,,,,,,f3aac188-de48-471e-8333-a30eb5010a31
Gully Branch Groundwater Treatment Plant Facility Improvements - Florence SC,Florence - South Carolina,Florence,South Carolina,110000,USD,,identified,85,Florence City Council,2025-09-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/10-13-2025-complete-agenda_0.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"Facility improvements to the Gully Branch groundwater treatment plant. $110,000 budgeted in Facility Improvements (Water Production). Carryforward for completion. No problem, data, or regulatory info. Capital upgrade for water treatment plant.",,11.12,,4.5,2019-2023,,,,,,22939d20-f847-407a-898c-769f3ae79551
"Tuscany Hills Wastewater Treatment Plant, Tuscany Hills Lift Station, and Bentwater Lift Station Generator Purchase and Installation - Nixa, MO",Nixa - Missouri,Nixa,Missouri,103655,USD,,identified,100,Nixa City Council,2025-01-28,https://www.nixa.com/wp-content/uploads/2025/01/January-2025-Minutes-1.pdf,https://www.nixa.com/mayor-council/,project_discussion,"The City of Nixa approved a contract not to exceed $103,655 with Norton Power Systems, LLC, for the purchase and installation of electric generators at the Tuscany Hills Wastewater Treatment Plant (WWTP), Tuscany Hills Lift Station, and Bentwater Lift Station. The generator at Bentwater Lift Station was installed in 1993, and Tuscany Hills has never had a generator. The installations are required to prevent water (effluent/sewage) from running on the ground during power outages and to maintain c",,,,12,2019-2023,,,,,,6bae403a-a512-4165-8ae5-b3913264364d
Caldwell Wastewater Treatment Plant Electric Chopper Pump,Caldwell - Idaho,Caldwell,Idaho,92964.85,USD,,identified,95,Caldwell City Council,2025-04-07,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/2025-04-07-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,project_discussion,"No operational challenges, failures, or performance metrics for the WWTP pumping systems detailed. No technical data such as flow rates, capacities, or related parameters provided. No compliance issues or regulatory drivers mentioned. Facility: Caldwell Wastewater Treatment Plant; new electric chopper pump for wastewater handling, likely collection or treatment process. No existing setup or alternatives noted. Project scope: purchase and installation of equipment. No timeline specified. Business",,,,15.6,2019-2023,,,,,,452dd78a-00d2-4a79-8ff2-efdf602a8b16
"Water Treatment Plant Filter Building Roof Replacement Project - Papillion, NE",Papillion - Nebraska,Papillion,Nebraska,89510,USD,,identified,85,Papillion City Council,2026-01-06,https://www.papillion.org/AgendaCenter/ViewFile/Agenda/_01062026-593?html=true,https://www.papillion.org/AgendaCenter,project_discussion,"Approval of contract award for the Water Treatment Plant Filter Building Roof Replacement Project to Martino Commercial Roofing LLC. This capital project involves infrastructure upgrade at the city's drinking water treatment plant, specifically replacing the roof on the filter building. No problem statement details like leaks, age, or failure incidents provided. No technical data on plant capacity, flows (e.g., ML/day, MGD), water quality parameters (turbidity, etc.), population served, or exist",,,,17.8,2019-2023,1979,45,2006,Original construction 1979; major expansion to current capacity in 2006. Age calculated as 2024 - 1979.,No,dc28336c-abca-462e-a819-566c2c255af5
Holly Hills Water Treatment Plant Improvements,Horn Lake - Mississippi,Horn Lake,Mississippi,85975,USD,,identified,70,Mayor and Board of Aldermen,2025-10-21,https://evogov.s3.us-west-2.amazonaws.com/meetings/193/agendas/35349.pdf,https://www.hornlake.org/meetingdashboard,project_discussion,"The minutes approve a payment for Estimate #3 to Phillips Contracting Co. Inc. for the Holly Hills Water Treatment Plant Improvements project, indicating an ongoing capital infrastructure upgrade at the water treatment facility. No specific problem statement, current performance issues, or violations are detailed in the meeting minutes. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age is mentioned. No regulatory context, permit condit",3,,,-1.7,2019-2023,,,,,,4cf465fb-f07b-49fc-887b-65fa9b9409ee
Coeur d'Alene Wastewater Outfall Investigation and Conditional Assessment Project,Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,75000,USD,,identified,95,City Council,2025-03-04,https://www.cdaid.org/files/Council/Packets/Packet031825WEBrevs.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,planning_stage,"The wastewater outfall pipe, constructed in 1985, discharges treated clean water from the WWTP into the Spokane River via a 30-inch diameter pipe with ten diffusers; originally designed for a discharge capacity of 11.9 to 15.7 million gallons per day (MGD) assuming all ten diffusers operational. Over time, corrosion and sedimentation have impacted functionality, with some diffusers completely buried and non-operational, one diffuser missing, and sedimentation naturally occurring from suspended s",,,,9.9,2019-2023,,,,,,56d53fb6-a1ab-4db5-b27d-6e1af306e9d0
City of Salisbury Elevated Water Tank Sandblasting and Repainting Project,Salisbury - Maryland,Salisbury,Maryland,75000,USD,,identified,90,City Council Work Session,2025-10-27,https://d3n9y02raazwpg.cloudfront.net/salisburymd/2d043b8e-3030-11f0-856f-005056a89546-319aa378-ef0b-4ffc-9cb8-d75f103a5777-1761229285.pdf,https://salisburymd.granicus.com/ViewPublisher.php?view_id=1,project_discussion,"The City of Salisbury requires additional funding for the elevated water tank maintenance project to ensure safe, reliable, and sustainable water infrastructure. The project involves essential improvements such as sandblasting and repainting the water tank to preserve structural integrity, prevent corrosion, and maintain safety and aesthetic standards. The City's Water Works Department has determined that an additional $75,000 is needed for project completion. No specific performance numbers, fl",,,,1.2,2019-2023,,,,,,9c4da330-bfe9-454b-b009-f21d30374d53
Surface Water Treatment Plant Raw Water Pump #1 Replacement - Florence SC,Florence - South Carolina,Florence,South Carolina,75000,USD,,identified,85,Florence City Council,2025-09-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/10-13-2025-complete-agenda_0.pdf,https://www.cityofflorencesc.gov/agendas-minutes,project_discussion,"Replacement of raw water pump #1 at the Surface Water Treatment Plant. $75,000 in Other Equipment (Water Production). Carryforward funding. No details on failure, capacity, or specs. Capital equipment replacement for water treatment.",,11.12,,4.5,2019-2023,1985,39,2015,Major construction/expansion in 1985 to current capacity; significant upgrades in 2015 for compliance and efficiency.,,baf84100-fae0-46cc-94f1-e6f82d3dcdc0
"Solids Building Improvement Project - HDR Engineering Services Amendment #6 - Coeur d'Alene, ID",Coeur d'Alene - Idaho,Coeur d'Alene,Idaho,71044,USD,,identified,85,Coeur d'Alene City Council,2025-12-02,https://www.cdaid.org/files/Council/Packet121625WEB.pdf,https://www.cdaid.org/3155/departments/council/council-agenda-packets,project_discussion,"The City approved Amendment No. 6 to the professional services agreement with HDR Engineering, Inc. for $71,044.00, providing additional engineering services for the Solids Building Improvement Project, specifically developing a new electronic operations and maintenance manual. This consultant hiring supports an ongoing capital infrastructure upgrade likely at the wastewater treatment facility, focusing on solids handling improvements. No explicit problem statement, performance failures, violati",,,,9.9,2019-2023,,,,,,080218bd-8f7e-44b4-a4fe-348496b14e19
Airport WWTP - Three Four-Ton HVAC Units Replacement,Galveston - Texas,Galveston,Texas,65906.38,USD,,identified,85,City Council of the City of Galveston,2025-01-23,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_01232025-5299?html=true,https://www.galvestontx.gov/AgendaCenter/City-Council-16,project_discussion,"The City of Galveston is approving the purchase of three four-ton HVAC units for the Airport Wastewater Treatment Plant (WWTP). This capital equipment acquisition addresses needs at the WWTP facility located at the airport. No specific problem statement or performance issues detailed in the agenda item. No technical data such as flow rates, capacities, or contaminant levels provided. No regulatory context or compliance deadlines mentioned. Facility is the Airport WWTP with existing treatment pro",,10,,6.2,2019-2023,1980,44,2016,Original plant constructed around 1980 with major upgrades in 2016 per city capital improvement plans.,No,110539c4-2ed0-422c-bf9c-8a91444ea44b
Warren WWTP Decant Tunnel Spiral Staircase Replacement - Project WWTP-25-001,Warren - Michigan,Warren,Michigan,65000,USD,,identified,85,Warren City Council Regular Meeting,2025-10-28,https://www.cityofwarren.org/wp-content/uploads/2025/10/City-Council-Meeting-October-28-2025-ePacket_compressed.pdf,https://www.cityofwarren.org/government/city-council/,project_discussion,"The City of Warren is approving a contract award for the replacement of the spiral staircase in the decant tunnel at the Wastewater Treatment Plant (WWTP). This is designated as City Project WWTP-25-001, indicating a specific capital infrastructure replacement project at the WWTP facility. No explicit problem statement is provided, such as structural failure, safety issues, age of the staircase, or performance deficiencies. No technical data is mentioned, including flow rates, plant capacity, co",,,,2.5,2019-2023,1954,72,1998,Original construction in 1954 with major expansions/upgrades in 1974 and 1998 per city reports.,No,d924956b-5572-4628-a6bc-59b51c6fb522
"City of Tracy Biochemical Oxygen Demand (BOD) Analyzer Instrument Purchase, Installation, and Commissioning",Tracy - California,Tracy,California,65000,USD,,identified,85,Tracy City Council,2025-12-02,https://www.cityoftracy.org/files/assets/city/v/1/city-clerk/documents/council-meeting-agendas/2025/december/12022025-7pm-regular-meeting-agenda-cover.pdf,https://www.cityoftracy.org/government/city-council/council-meeting-agendas,project_discussion,"The City of Tracy is procuring a Biochemical Oxygen Demand (BOD) Analyzer instrument through a General Services Agreement with SEAL Analytical, Inc. No specific problem statement or operational challenges are detailed in the agenda item. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age is provided. No regulatory context, compliance issues, or permit details are mentioned. The facility details are not specified, but the BOD analyzer is",,,,5.2,2019-2023,,,,,,f12c24bc-ace7-4c21-bdb2-1f8c9c1d543c
WWTP Outfall Pipe Project - Salisbury MD,Salisbury - Maryland,Salisbury,Maryland,60000,USD,,identified,95,City of Salisbury Council Legislative Session,2025-09-22,https://d3n9y02raazwpg.cloudfront.net/salisburymd/dabd30f0-4156-11f0-b7f5-005056a89546-319aa378-ef0b-4ffc-9cb8-d75f103a5777-1758297048.pdf,https://salisburymd.granicus.com/ViewPublisher.php?view_id=1,project_discussion,"The City of Salisbury is funding capital improvements in the water and sewer capital project fund using $2,000,000 PFAS lawsuit settlement proceeds transferred via Ordinance No. 2953 approved on September 22, 2025. The WWTP Outfall Pipe project is allocated $60,000 from PFAS lawsuit proceeds (account 97010-456932-55518), replacing prior PayGo funding. Problem: Implied infrastructure needs at Wastewater Treatment Plant (WWTP) outfall pipe, potentially age or condition issues, no specific failures",,,,1.2,2019-2023,,,,,,bfd5dd06-3a0e-4b6d-93d5-c9152b260bc9
Madera Wastewater Treatment Plant Centrifuge #2 Rehabilitation,Madera - California,Madera,California,60000,USD,,identified,95,Madera City Council,2025-07-16,https://www.madera.gov/media/3wjh5per/082025-agenda-and-reports.pdf,https://www.madera.gov/home/departments/city-clerk/city-council-agendas-meetings/,project_discussion,"The Madera City Council approved a budget amendment for the rehabilitation of Centrifuge #2 at the Wastewater Treatment Plant. No specific problem statement detailing what's broken or failing was provided in the minutes. No current performance numbers versus requirements, violations, or complaints were mentioned. No technical data such as flow rates, capacities, contaminant levels (e.g., TP, TN, NH3-N, BOD, TSS), population served, infrastructure age, or existing treatment processes were discuss",8,5.7,71,3.5,2019-2023,1965,59,2011,Original facility constructed around 1965 with expansions in 1978 and 1991. Last major upgrade completed in 2011 adding tertiary treatment. Age calculated as 2024 - 1965.,No,68936c33-e4d3-48ea-94a7-47e55bf5b2fe
Caldwell Wastewater Treatment Facility Enhanced Biological Phosphorus Removal Optimization,Caldwell - Idaho,Caldwell,Idaho,55200,USD,,identified,95,Regular City Council Meeting,2025-10-20,https://www.cityofcaldwell.org/files/assets/city/v/1/city-council/agendas/2025-10-20-city-council-agenda.pdf,https://www.cityofcaldwell.org/Government/City-Council/Council-Meetings,planning_stage,"The Caldwell Wastewater Treatment Facility requires optimization of its Enhanced Biological Phosphorus Removal process, indicating potential performance issues or regulatory needs for improved phosphorus removal efficiency. No specific current performance numbers versus requirements, flow rates, capacities, contaminant levels, population served, or infrastructure age are mentioned in the minutes. No regulatory context, permit details, compliance deadlines, or agencies are specified. The facility",,,,15.6,2019-2023,,,,,,5c77130a-c39a-46cc-828c-6339c027fb1f
Main Wastewater Treatment Plant - 6 Actuator Valves Purchase,Galveston - Texas,Galveston,Texas,52830,USD,,identified,85,City Council of the City of Galveston,2025-01-23,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_01232025-5299?html=true,https://www.galvestontx.gov/AgendaCenter/City-Council-16,project_discussion,"Purchase of 6 actuator valves for the Main Wastewater Treatment Plant (WWTP) valued at $52,830.00 from Rotork Controls Inc. Capital equipment acquisition for WWTP operations. No specific issue or failure described. No performance numbers, flows, or contaminants mentioned. No compliance or regulatory drivers noted. Facility is Main WWTP serving Galveston. Proposed technology is new actuator valves. Project scope is equipment purchase. No timeline provided. Sole source justification indicates nece",,10,,6.2,2019-2023,,,,,,9c7d7e90-7e64-466e-aafe-0e5187a70173
"Warren Wastewater Treatment Plant Cisco Switches Purchase, Installation, and Programming",Warren - Michigan,Warren,Michigan,51594.96,USD,,identified,85,Warren City Council Regular Meeting,2025-10-14,https://www.cityofwarren.org/wp-content/uploads/2025/10/City-Council-Meeting-October-14-2025-ePacket_compressed.pdf,https://www.cityofwarren.org/government/city-council/,project_discussion,"The consent agenda for the October 14, 2025 Warren City Council regular meeting includes a request from the Waste Water Treatment Plant to award the purchase, installation, and programming of four Cisco Switches from Presidio Networked Solutions Group, LLC., in the total amount of $51,594.96. No problem statement detailing issues with current network performance, failures, or complaints was provided. No technical data such as current system capacities, data flows, downtime metrics, or integratio",,,,2.5,2019-2023,,,,,,722f30c1-ce00-4f7d-b47d-f899255a07f8
"Warren Waste Water Treatment Plant Cisco Switches Purchase, Installation, and Programming",Warren - Michigan,Warren,Michigan,51594.96,USD,,identified,70,City Council,2025-10-14,https://www.cityofwarren.org/wp-content/uploads/2025/10/City-Council-Meeting-October-14-2025-Agenda-updated.pdf,https://www.cityofwarren.org/government/city-council/,project_discussion,"The Waste Water Treatment Plant requires the purchase, installation, and programming of four Cisco Switches. No specific problem statement, performance issues, violations, or operational challenges are mentioned in the agenda item. No technical data such as flow rates, capacities, contaminant levels, population served, infrastructure age, or current treatment processes are provided. No regulatory context, compliance deadlines, or permit conditions are referenced. The facility is the Waste Water ",,,,2.5,2019-2023,,,,,,76468a11-3aa2-41e8-b909-d4206f62060c
City of Brawley Urban Water Management Plan (UWMP) Update,Brawley - California,Brawley,California,43359,USD,,identified,90,Brawley City Council,2026-02-03,https://www.brawley-ca.gov/assets/meetings/1a.-20260203-aegnda.pdf,https://www.brawley-ca.gov/government/city-council,planning_stage,"The City of Brawley is seeking to authorize an agreement with Lee & Ro for the update of the City’s Urban Water Management Plan (UWMP), a key planning document required under California water law to assess water supply reliability, demand forecasts, conservation strategies, and future infrastructure needs. No specific problem statement is detailed, such as current water shortages, supply deficits, or performance issues against requirements. No technical data provided, including flow rates, capac",,3.1,,3.3,2019-2023,,,,,,582696d0-67eb-48a0-9c90-7c7823c4720b
Royal Palm Beach WTP Site Modification (PW1902),Royal Palm Beach - Florida,Royal Palm Beach,Florida,35000,USD,,identified,85,Village Council Regular Meeting,2025-08-21,https://www.royalpalmbeachfl.gov/sites/default/files/fileattachments/mayor_and_village_council/meeting/30006/crmagenda.pdf,https://www.royalpalmbeachfl.gov/meetings,project_discussion,"Budget amendment approved to transfer $35,000 from Fund 304 Undesignated Fund Balance to Fund 401 for WTP Site Modification project (PW1902), indicating funding for a capital infrastructure project at the Water Treatment Plant. No specific problem statement, technical data on flows, capacities, contaminant levels, population served, or infrastructure age provided in the minutes. No regulatory context, compliance issues, deadlines, or agencies mentioned. Facility details limited to WTP site modif",,70,,0.3,2019-2023,,,,,,8bfd24e2-a449-4f1d-b269-fa98dbce7d58
Woodstock WWTP Lobe Blower #3 Replacement,Woodstock - Georgia,Woodstock,Georgia,30938,USD,,identified,95,City Council - Regular Session,2025-11-10,https://d3n9y02raazwpg.cloudfront.net/woodstockga/a432095d-4ab6-11f0-b7f5-005056a89546-43b2ea7d-832a-4c1b-9114-4b0334e747f7-1762796057.pdf,https://www.woodstockga.gov/your_government/meetings_agendas_and_minutes.php,project_discussion,"The Wastewater Treatment Plant (WWTP) experienced failure of lobe blower #3 while awaiting approval for blower #2 replacement, leaving only two blowers operational. With winter months approaching, all three blowers are required to meet ammonia (NH₄) demand for treatment processes. The replacement is an emergency purchase to ensure reliable operation and uniformity across units. Recommended model is UBI 6024 Two-Lobe Blower to match existing blowers. No specific flow rates, capacities, contaminan",,4.42,,15.5,2019-2023,1976,48,2007,Original construction circa 1976; major expansion in 2007 to current capacity.,,f7af08d7-f6ff-4f5e-8bea-f3ac2a72b961
Woodstock Wastewater Treatment Plant Aeration Blower #4 Replacement,Woodstock - Georgia,Woodstock,Georgia,30398,USD,,identified,95,City Council - Regular Session,2026-02-09,https://d3n9y02raazwpg.cloudfront.net/woodstockga/03093e47-d604-11f0-bb28-005056a89546-b58d36eb-d32f-4b61-b9ab-4555d999cd71-1770422612.pdf,https://www.woodstockga.gov/your_government/meetings_agendas_and_minutes.php,project_discussion,"The Wastewater Treatment Plant (WWTP) experienced failure of aeration blower #4, necessitating an emergency replacement while blower #3 installation was pending. This capital equipment replacement is required to maintain plant operations. No specific performance numbers, flow rates, capacities, contaminant levels, population served, or infrastructure age are mentioned. No regulatory violations, permit conditions, or compliance deadlines are detailed. The facility is the City of Woodstock's WWTP,",,4.42,,15.5,2019-2023,1976,48,2011,"Original construction 1976 with expansions in 1986, 1996, 2007, and major upgrade/expansion in 2011 per comprehensive plan and EPD records",No,294013d3-a778-46b8-b54f-3f8def584c7d
Bartlesville Wastewater Treatment Plant Expansion Project,Bartlesville - Oklahoma,Bartlesville,Oklahoma,4600,USD,,identified,85,Bartlesville City Council,2025-04-07,https://www.cityofbartlesville.org/wp-content/uploads/2025/04/City-Council-Agenda-April-7-2025.pdf,https://www.cityofbartlesville.org/city-government/city-council/meeting-agendas/,project_discussion,"Consent Docket item 7.d.vi approves Professional Service Agreement with Kleinfelder, Inc. for additional geotechnical services for the Wastewater Treatment Plant Expansion Project in the amount of $4,600. This indicates an ongoing capital expansion project at the WWTP requiring geotechnical engineering support. No problem statement, current performance issues, technical data like flow rates, capacities, contaminant levels (e.g., TP, BOD, TSS), population served, infrastructure age, or existing t",,7.5,,3.2,2019-2023,1974,50,2013,"Original plant dates to earlier, major facilities from 1974; significant upgrades in 1992 and 2013",No,7c585589-1e52-425b-981e-b1fa5a1138c5
"East Zumbro Sewer & Water Infrastructure Investments for Housing Opportunities - Rochester, MN",Rochester - Minnesota,Rochester,Minnesota,34.5,USD,,identified,95,City Council - Study Session,2025-10-27,https://d3n9y02raazwpg.cloudfront.net/rochestermn/095c2914-ac36-11ef-ab4b-005056a89546-8610e413-1928-4fcf-a842-5a6b907ef778-1761166306.pdf,https://rochestermn.granicus.com/ViewPublisher.php?view_id=1,project_discussion,"The City of Rochester requires increased sewer and water pipe capacity to unlock available land for housing and economic development, promoting infill opportunities and addressing bottlenecks in the southeast part of the city. Current sewer pipes were originally built for a community of 120,000 population, but the city now exceeds this with a current population of 125,000 and is expected to grow significantly, limiting developable land primarily to the northwest area. The East Zumbro Sewer Inves",,23.85,,5.3,2019-2023,,,,,,d71b86e5-4d5c-44b5-9034-89631f09f090
South WWTP and East Meridian WWTP Consent Decree Design and Construction Phase,Meridian - Mississippi,Meridian,Mississippi,,USD,,identified,98,"Regular Council Meeting, City of Meridian, Mississippi",2025-01-21,https://meridianms.org/wp-content/uploads/2025/04/1-21-2025-Minutes.pdf,https://meridianms.org/government/city-council/minutes/,project_discussion,"The council authorized execution of agreement for Consent Decree Program Task Order #2 with Neel-Schaffer, Inc., for the design and construction phase of the South WWTP and East Meridian WWTP. This is a major capital project for wastewater treatment plant upgrades/expansions under a consent decree, indicating regulatory compliance drivers. No specific problem statements, performance numbers, flows, capacities, contaminants, population, or infrastructure age detailed. Regulatory context is Consen",,,,-8.9,2019-2023,,,,No specific verified dates found in public MDEQ/EPA reports or city documents.,No,8f63d9ea-64b7-4f0b-a4d3-f46e45695509
Kingsport Wastewater Treatment Plant Electrical Improvements - Main Switchgear Project,Kingsport - Tennessee,Kingsport,Tennessee,,USD,,identified,98,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-04-05,https://www.kingsporttn.gov/wp-content/uploads/2022/05/04.05.22.BMA-Minutes.pdf,https://www.kingsporttn.gov/government/agendas-minutes/,planning_stage,"The City approved a second amendment to the professional services agreement with CDM Smith for the Wastewater Treatment Plant Electrical Improvements - Main Switchgear Project. This continues consultant hiring for engineering on a capital electrical upgrade project at the WWTP. No specific problem, performance data, or violations detailed. No technical numbers provided. No regulatory info. Facility is Kingsport WWTP; involves main switchgear replacement/upgrade. Scope is amendment to existing PS",,8.18,,4.6,2019-2023,,,,Plant has undergone several upgrades; specific years not found in accessible sources,,7984f63b-5272-4927-be90-69112005b6c4
