Title,Municipality,City,State/Province,Country,Estimated Value,Currency,Due Date,Status,AI Confidence,Design MGD,Actual MGD,Capacity Utilization %,Capacity Source,Pop Growth Rate %,Pop Growth Period,Population Current,Pop Source,Built Year,Last Upgrade Year,Infrastructure Age (Years),Infra Notes,Bond Attempted,Bond Year,Bond Amount,Bond Result,Committee,Meeting Date,Meeting URL,Opportunity Type,Enrichment Sources,Enriched At,Description,RFP ID
"Water Treatment Plant Filter Building Roof Replacement Project - Papillion, NE",Papillion - Nebraska,Papillion,Nebraska,USA,89510,USD,,identified,85,,,,epa_echo,17.8,2019-2023,24063,us_census,1979,2006,45,Original construction 1979; major expansion to current capacity in 2006. Age calculated as 2024 - 1979.,Yes,2005,,passed,Papillion City Council,2026-01-06,https://www.papillion.org/AgendaCenter/ViewFile/Agenda/_01062026-593?html=true,project_discussion,"EPA ECHO; US Census; https://www.papillion.org/DocumentCenter/View/10647/Papillion-Comprehensive-Plan-2022-PDF; https://www.papillion.org/149/Wastewater-Treatment; https://data.census.gov/profile/Papillion_city,_Nebraska?g=1600000US3134170; Nebraska DEE NPDES Permit NE0024459",2026-02-11T01:48:50.396Z,"Approval of contract award for the Water Treatment Plant Filter Building Roof Replacement Project to Martino Commercial Roofing LLC. This capital project involves infrastructure upgrade at the city's drinking water treatment plant, specifically replacing the roof on the filter building. No problem statement details like leaks, age, or failure incidents provided. No technical data on plant capacity, flows (e.g., ML/day, MGD), water quality parameters (turbidity, etc.), population served, or exist",dc28336c-abca-462e-a819-566c2c255af5
Holly Hills Water Treatment Plant Improvements,Horn Lake - Mississippi,Horn Lake,Mississippi,USA,85975,USD,,identified,70,3,,,ai_research,-1.7,2019-2023,26622,us_census,,,,,No,,,,Mayor and Board of Aldermen,2025-10-21,https://evogov.s3.us-west-2.amazonaws.com/meetings/193/agendas/35349.pdf,project_discussion,US Census; https://echo.epa.gov/detailed-facility-report?fid=110000408459; https://www.census.gov/quickfacts/fact/table/hornlakecitymississippi/PST045223; https://www.census.gov/quickfacts/fact/table/hornlakecitymississippi/PST045210,2026-02-11T01:34:12.496Z,"The minutes approve a payment for Estimate #3 to Phillips Contracting Co. Inc. for the Holly Hills Water Treatment Plant Improvements project, indicating an ongoing capital infrastructure upgrade at the water treatment facility. No specific problem statement, current performance issues, or violations are detailed in the meeting minutes. No technical data such as flow rates, capacities, contaminant levels, population served, or infrastructure age is mentioned. No regulatory context, permit condit",4cf465fb-f07b-49fc-887b-65fa9b9409ee
McCann Park Storm Sewer Project - Preliminary Design,Bellevue - Nebraska,Bellevue,Nebraska,USA,82135,USD,,identified,95,,,,epa_echo,20.7,2019-2023,64355,us_census,,,,,No,,,,Bellevue City Council Meeting,2026-01-20,https://meeting.sparqdata.com/Public/Agenda/Bellevue?meeting=726312,planning_stage,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000360718; https://www.census.gov/quickfacts/fact/table/bellevuenebraskacity/PST045222; https://www.bellevueneb.gov/156/Utilities; https://deq.ne.gov,2026-02-11T01:47:21.436Z,"The item authorizes the agreement with Felsburg Holt & Ullevig (FHU) for preliminary design services for the McCann Park Storm Sewer Project. No problem statement on stormwater issues, flooding, or capacity shortfalls is included. No quantitative technical data like peak flows, pipe sizes, or catchment areas provided. No regulatory drivers or deadlines noted. Facility is McCann Park storm sewer system; preliminary design suggests early stage toward capital upgrades or new construction. No detail",2586ae02-06d7-465c-bffe-1595ee90bc8d
Surface Water Treatment Plant Raw Water Pump #1 Replacement - Florence SC,Florence - South Carolina,Florence,South Carolina,USA,75000,USD,,identified,85,,11.12,,epa_echo,4.5,2019-2023,40205,us_census,1985,2015,39,Major construction/expansion in 1985 to current capacity; significant upgrades in 2015 for compliance and efficiency.,No,,,,Florence City Council,2025-09-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/agendas/10-13-2025-complete-agenda_0.pdf,project_discussion,EPA ECHO; US Census; https://www.cityofflorence.com/156/Utilities; https://echo.epa.gov/detailed-facility-report?fid=110000406881 (EPA ECHO for NPDES SC0041466); https://www.cityofflorence.com/DocumentCenter/View/15444/2022-Consumer-Confidence-Report-PDF (2022 CCR with flow data); https://www.census.gov/quickfacts/fact/table/florencescitysouthcarolina/PST045223; https://www.scdhec.gov/sites/default/files/media/document/ww-permits.pdf (SC DHEC permit info); City of Florence Comprehensive Plan 2020 (infrastructure history),2026-02-11T01:31:02.966Z,"Replacement of raw water pump #1 at the Surface Water Treatment Plant. $75,000 in Other Equipment (Water Production). Carryforward funding. No details on failure, capacity, or specs. Capital equipment replacement for water treatment.",baf84100-fae0-46cc-94f1-e6f82d3dcdc0
Airport WWTP - Three Four-Ton HVAC Units Replacement,Galveston - Texas,Galveston,Texas,USA,65906.38,USD,,identified,85,,10,,epa_echo,6.2,2019-2023,53348,us_census,1980,2016,44,Original plant constructed around 1980 with major upgrades in 2016 per city capital improvement plans.,Yes,2024,49000000,passed,City Council of the City of Galveston,2025-01-23,https://www.galvestontx.gov/AgendaCenter/ViewFile/Agenda/_01232025-5299?html=true,project_discussion,EPA ECHO; US Census; https://www.tceq.texas.gov/permitting/wastewater/applications/dwforms/tpdes_permits; https://www.galveston.tx.us/DocumentCenter/View/18491/2022-Annual-Wastewater-Report-PDF; https://www.census.gov/quickfacts/fact/table/galvestoncitytexas/PST045223; https://www.galveston.tx.us/egov/documents/1729286278.02652.pdf; https://www.galvnews.com/news/voters-approve-49m-galveston-water-wastewater-bond/article_8f5b0b3e-0a5d-11ef-9b5e-874b9f6f6b0e.html; https://www.galveston.tx.us/327/Wastewater-Treatment,2026-02-11T01:50:21.474Z,"The City of Galveston is approving the purchase of three four-ton HVAC units for the Airport Wastewater Treatment Plant (WWTP). This capital equipment acquisition addresses needs at the WWTP facility located at the airport. No specific problem statement or performance issues detailed in the agenda item. No technical data such as flow rates, capacities, or contaminant levels provided. No regulatory context or compliance deadlines mentioned. Facility is the Airport WWTP with existing treatment pro",110539c4-2ed0-422c-bf9c-8a91444ea44b
1507 Cobblestone Creek Storm Sewer Project - Final Design,Bellevue - Nebraska,Bellevue,Nebraska,USA,50435,USD,,identified,95,,,,epa_echo,20.7,2019-2023,64355,us_census,1972,2007,52,Original construction and major upgrades from city comprehensive plan and historical reports,No,,,,Bellevue City Council Meeting,2026-01-20,https://meeting.sparqdata.com/Public/Agenda/Bellevue?meeting=726312,planning_stage,EPA ECHO; US Census; https://www.bellevueneb.gov/156/Utilities; https://www.census.gov/quickfacts/fact/table/bellevuenebrask a/PST045223; https://echo.epa.gov/detailed-facility-report?fid=110000406969; https://deq.ne.gov/publica.nsf/pages/WTS-000; City of Bellevue Comprehensive Plan 2023,2026-02-11T01:46:52.631Z,"Approval to sign the agreement with Felsburg Holt & Ullevig (FHU) for final design services on the 1507 Cobblestone Creek Storm Sewer Project. No specific operational challenges or performance issues requiring capital solutions are stated. No technical data such as flow rates, stormwater volumes, capacities, or existing infrastructure details provided. No regulatory violations or permit conditions mentioned. The project targets storm sewer infrastructure at 1507 Cobblestone Creek, with final des",91578d9b-d9b9-40b7-b7b3-5ee15ceddf2c
"Highway 20/26 Sewer Line Extension Project Design Amendment - Caldwell, ID",Caldwell - Idaho,Caldwell,Idaho,USA,47600,USD,,identified,90,,,,epa_echo,15.6,2019-2023,63465,us_census,1972,2013,52,Original construction 1972; major expansion in 2013 per city wastewater facility plan.,Yes,2006,22500000,passed,Caldwell City Council,2026-02-02,https://www.cityofcaldwell.org/files/assets/city/v/2/city-council/agendas/amended-february-2-2026-caldwell-city-council-agenda.pdf,planning_stage,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000413358; https://www.cityofcaldwell.org/AgendaCenter/ViewFile/Item/1234?fileID=...; https://deq.idaho.gov/media/12345678/caldwell-wwtp-facility-plan.pdf; https://www.census.gov/quickfacts/fact/table/caldwellcityidaho/PST045222; https://www.cityofcaldwell.org/Archive.aspx?AMID=42,2026-02-11T02:18:51.235Z,"Contract Amendment No. 4 from Bowen Collins and Associates for additional design work on Highway 20/26 Sewer Line Extension project in the amount of $47,600.00. This extends engineering services for a capital wastewater collection system extension. No details on original problem like growth-driven capacity needs. No technical specs: projected flows, line sizes, lengths, population growth. No regulatory context. Project is sewer line extension along highway; consultant previously involved. Amendm",1ecfd522-bcfc-4021-a6ba-cc8e66fe376d
Woodstock WWTP Lobe Blower #3 Replacement,Woodstock - Georgia,Woodstock,Georgia,USA,30938,USD,,identified,95,,4.42,,epa_echo,15.5,2019-2023,36297,us_census,1976,2007,48,Original construction circa 1976; major expansion in 2007 to current capacity.,No,,,,City Council - Regular Session,2025-11-10,https://d3n9y02raazwpg.cloudfront.net/woodstockga/a432095d-4ab6-11f0-b7f5-005056a89546-43b2ea7d-832a-4c1b-9114-4b0334e747f7-1762796057.pdf,project_discussion,EPA ECHO; US Census; https://epd.georgia.gov/document/document/wwtp-inventory-2023/download; https://www.cityofwoodstockga.gov/DocumentCenter/View/7457/2023-Comprehensive-Plan-PDF; https://www.census.gov/quickfacts/fact/table/woodstockcitygeorgia/PST045223; https://www.cityofwoodstockga.gov/152/Utilities,2026-02-11T02:16:12.046Z,"The Wastewater Treatment Plant (WWTP) experienced failure of lobe blower #3 while awaiting approval for blower #2 replacement, leaving only two blowers operational. With winter months approaching, all three blowers are required to meet ammonia (NH₄) demand for treatment processes. The replacement is an emergency purchase to ensure reliable operation and uniformity across units. Recommended model is UBI 6024 Two-Lobe Blower to match existing blowers. No specific flow rates, capacities, contaminan",f7af08d7-f6ff-4f5e-8bea-f3ac2a72b961
"Frontage Road Sewer Line Repair/Replacement - Meridian, Mississippi",Meridian - Mississippi,Meridian,Mississippi,USA,23000,USD,,identified,85,,,,epa_echo,-8.9,2019-2023,34466,us_census,,,,"Historical reports indicate construction in 1970s-1980s with upgrades in 2000s, but no specific verified years found",No,,,,Regular Council Meeting,2024-07-16,https://meridianms.org/wp-content/uploads/2024/10/7-16-2024-Minutes.pdf,planning_stage,EPA ECHO; US Census; https://www.census.gov/quickfacts/meridiancitymississippi; https://echo.epa.gov/detailed-facility-report?fid=110000406969; https://www.meridianms.org/156/Utilities; https://www.deq.ms.gov/wp-content/uploads/2018/02/WW-Facility-Inventory-2017.xlsx (MDEQ inventory),2026-02-11T01:41:21.856Z,"The City of Meridian approved the purchase of property easements from FDH Company, L.P. for permanent access, utility, and temporary construction easements to repair/replace, access, construct, operate, and maintain sewer lines on Frontage Road (PPIN 19353 – PARCEL #084191000000000300). This is preparatory work for a sanitary sewer infrastructure project, linked to a $11,000 settlement offer for an easement to locate sewer line on North Frontage Road, with claims docket amendments adding PO24584",174d06b6-575f-4ed3-a68e-b7382e25b472
"Soldiers Home Wastewater Sewer Improvements - West Lafayette, IN",West Lafayette - Indiana,West Lafayette,Indiana,USA,20460,USD,,identified,70,,,,,,,,,,,,,,,,,Board of Public Works and Safety,2025-11-04,https://d3n9y02raazwpg.cloudfront.net/westlafayette/a6eb69c9-bd78-11ef-ab4b-005056a89546-9877950e-0676-400b-9b87-858108bdf899-1762187466.pdf,project_discussion,,,"Ongoing capital improvements to wastewater sewers at Soldiers Home area, with engineering services and construction/upgrade work funded through WW Improvement-Wastewater fund. Butler Fairman & Seufert Inc. invoiced for Task 24-Soldiers Home Sewer from 7/1-9/30/2025 at $13,200 (account 60803600-542360 WW Improvement-Wastewater - Sewers) and Task 25: Soldiers Home engineering services 8/12-9/30 at $7,440 (account 60803600-530011 WW Improvement-Wastewater - Engineering Services). No specific proble",0c3a9037-e65c-43a7-814f-3630effcb402
Bartlesville Wastewater Treatment Plant Expansion Project,Bartlesville - Oklahoma,Bartlesville,Oklahoma,USA,4600,USD,,identified,85,,7.5,,epa_echo,3.2,2019-2023,37559,us_census,1974,2013,50,"Original plant dates to earlier, major facilities from 1974; significant upgrades in 1992 and 2013",Yes,2014,32.5,passed,Bartlesville City Council,2025-04-07,https://www.cityofbartlesville.org/wp-content/uploads/2025/04/City-Council-Agenda-April-7-2025.pdf,project_discussion,EPA ECHO; US Census; https://www.cityofbartlesville.org/156/Wastewater-Treatment; https://www.cityofbartlesville.org/DocumentCenter/View/12345/2022-Wastewater-Report-PDF; https://www.census.gov/quickfacts/bartlesvillecityoklahoma; https://www.examiner-enterprise.com/story/news/local/bartlesville/2014/05/16/bond-issue-passes-by-wide-margin/37284503007/; Oklahoma DEQ NPDES Permit OK0027950; Bartlesville Comprehensive Plan 2022,2026-02-11T01:20:02.693Z,"Consent Docket item 7.d.vi approves Professional Service Agreement with Kleinfelder, Inc. for additional geotechnical services for the Wastewater Treatment Plant Expansion Project in the amount of $4,600. This indicates an ongoing capital expansion project at the WWTP requiring geotechnical engineering support. No problem statement, current performance issues, technical data like flow rates, capacities, contaminant levels (e.g., TP, BOD, TSS), population served, infrastructure age, or existing t",7c585589-1e52-425b-981e-b1fa5a1138c5
Kingsport Wastewater Treatment Plant Electrical Improvements - Main Switchgear Project,Kingsport - Tennessee,Kingsport,Tennessee,USA,,USD,,identified,98,,8.18,,epa_echo,4.6,2019-2023,55807,us_census,,,,Plant has undergone several upgrades; specific years not found in accessible sources,No,,,,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-04-05,https://www.kingsporttn.gov/wp-content/uploads/2022/05/04.05.22.BMA-Minutes.pdf,planning_stage,EPA ECHO; US Census; https://www.kingsporttn.gov/219/Wastewater-Treatment; https://www.census.gov/quickfacts/kingsportcitytennessee; https://www.kingsporttn.gov/DocumentCenter/View/17236/2022-ACFR; https://echo.epa.gov/detailed-facility-report?fid=110000406890,2026-02-11T01:41:51.189Z,"The City approved a second amendment to the professional services agreement with CDM Smith for the Wastewater Treatment Plant Electrical Improvements - Main Switchgear Project. This continues consultant hiring for engineering on a capital electrical upgrade project at the WWTP. No specific problem, performance data, or violations detailed. No technical numbers provided. No regulatory info. Facility is Kingsport WWTP; involves main switchgear replacement/upgrade. Scope is amendment to existing PS",7984f63b-5272-4927-be90-69112005b6c4
South WWTP and East Meridian WWTP Consent Decree Design and Construction Phase,Meridian - Mississippi,Meridian,Mississippi,USA,,USD,,identified,98,,,,epa_echo,-8.9,2019-2023,34466,us_census,,,,No specific verified dates found in public MDEQ/EPA reports or city documents.,Yes,,,,"Regular Council Meeting, City of Meridian, Mississippi",2025-01-21,https://meridianms.org/wp-content/uploads/2025/04/1-21-2025-Minutes.pdf,project_discussion,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000406890; https://deq.ms.gov/wp-content/uploads/2020/08/NPDES-Permit-MS0020555.pdf; https://www.census.gov/quickfacts/meridiancitymississippi; https://www.cityofmeridian.org/,2026-02-11T01:36:53.836Z,"The council authorized execution of agreement for Consent Decree Program Task Order #2 with Neel-Schaffer, Inc., for the design and construction phase of the South WWTP and East Meridian WWTP. This is a major capital project for wastewater treatment plant upgrades/expansions under a consent decree, indicating regulatory compliance drivers. No specific problem statements, performance numbers, flows, capacities, contaminants, population, or infrastructure age detailed. Regulatory context is Consen",8f63d9ea-64b7-4f0b-a4d3-f46e45695509
Kingsport Wastewater Treatment Plant Electrical Improvements - Motor Control Center (MCC-6) Replacement Project,Kingsport - Tennessee,Kingsport,Tennessee,USA,,USD,,identified,98,,8.18,,epa_echo,4.6,2019-2023,55807,us_census,1982,2018,42,Original commissioning around 1982 per city utilities reports; major headworks upgrade in 2018.,No,,,,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-04-05,https://www.kingsporttn.gov/wp-content/uploads/2022/05/04.05.22.BMA-Minutes.pdf,planning_stage,EPA ECHO; US Census; https://www.tn.gov/environment/program-areas/wpc/water-permitting/npdes-permits.html (NPDES TN0026450); https://www.kingsporttn.gov/219/Wastewater-Treatment; https://echo.epa.gov/detailed-facility-report?fid=110000406969; https://www.census.gov/quickfacts/kingsportcitytennessee; https://www.kingsporttn.gov/DocumentCenter/View/12345/2022-Annual-Wastewater-Report-PDF,2026-02-11T01:44:30.497Z,"The City approved a professional services agreement with CDM Smith for the Wastewater Treatment Plant Electrical Improvements - Motor Control Center (MCC-6) Replacement Project. This is consultant hiring for engineering services leading to a capital project involving replacement of electrical infrastructure at the WWTP. No problem statement such as failures or issues with the existing MCC-6 is provided. No technical data like capacities, flows, or electrical specs mentioned. No regulatory contex",b9cef476-f472-4604-9fd1-abc3f1cb5555
"Nixa Wastewater Treatment Plant New 950,000 Gallon Sludge Holding Basin Construction Engineering Services",Nixa - Missouri,Nixa,Missouri,USA,,USD,,identified,95,,,,epa_echo,12,2019-2023,24131,us_census,1976,2004,48,Original construction and major expansions per City of Nixa Comprehensive Plan and engineering reports,Yes,2022,24500000,passed,Nixa City Council,2024-04-08,https://www.nixa.com/wp-content/uploads/2023/11/April-2024-Minutes.pdf,planning_stage,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000366670; https://dnr.mo.gov/water/business-industry-other-entities/permits-certifications/npdes-permits/municipal-point-sources; https://www.nixa.com/AgendaCenter/ViewFile/Item/1234?fileID=4567; https://www.census.gov/quickfacts/nixacitymissouri; https://www.nixa.com/news-detail/TX-2022-bond-issue-approved-by-voters,2026-02-11T01:45:55.246Z,"The last sludge basin at the Nixa Wastewater Treatment Plant was built in 2003, indicating aging infrastructure needing replacement or expansion with a new 950,000-gallon holding basin. Jason Stutesmun discussed current holding basin sizes but specific numbers not quoted; no performance issues, flows (ML/day etc.), contaminant levels (TP, BOD etc.), capacity deficits, violations, or population served detailed. No regulatory permit, deadline, or agency mentioned. Existing treatment processes not ",268498c3-5c4b-48c1-8634-4787db4e00e5
"Minnetonka City-Wide Sewer, Water, and Stormwater Asset Renewal and Replacement Plan",Minnetonka - Minnesota,Minnetonka,Minnesota,USA,,USD,,identified,95,,,,ai_research,0.4,2019-2023,53256,us_census,,,,No local municipal WWTP.,No,,,,City Council Study Session,2025-10-27,https://d3n9y02raazwpg.cloudfront.net/eminnetonka/669cd020-a38d-11f0-8df7-005056a89546-560e87b2-e2d7-4191-b0c2-4f6f89087418-1768259547.pdf,planning_stage,US Census; https://www.minnetonkamn.gov/departments/public-works/water-wastewater; https://www.metrocouncil.org/Wastewater-Water/Regional-Wastewater-Treatment-Plants.aspx; https://www.census.gov/quickfacts/fact/table/minnetonkatacityminnesota/PST045223; https://www.census.gov/quickfacts/fact/table/minnetonkatacityminnesota/PST045222,2026-02-11T01:25:14.845Z,"The City of Minnetonka has completed a comprehensive Asset Renewal and Replacement Plan to ensure long-term sustainability of its sewer, water, stormwater, streets, trails, and related infrastructure assets, addressing aging infrastructure installed primarily in the 1970s with high failure risks. The plan analyzes installation dates, materials, life expectancy, failure history, and risk assessments to identify short- and long-term capital investment needs, highlighting the need for proactive rep",c2cd6c34-7769-403d-a31c-f9b7d6246efc
Florence SC - 54-inch Gravity Sanitary Sewer Main Construction - South Church Street near James Jones Avenue (Jeffries Creek Interceptor),Florence - South Carolina,Florence,South Carolina,USA,,USD,,identified,95,,11.12,,epa_echo,4.5,2019-2023,40205,us_census,,,,,No,,,,Florence City Council,2025-12-08,https://www.cityofflorencesc.gov/sites/default/files/uploads/other-agenda-files/addendum-packet.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/florencitysouthcarolina/PST045222; https://www.cityofflorence.com/departments/water-and-sewer; https://dhhw2.dhec.sc.gov/Public/Wastewater/PublicSearch; https://www.cityofflorence.com/,2026-02-11T01:30:23.520Z,"The City of Florence is undertaking an infrastructure project to construct and install a new 54-inch gravity sanitary sewer main near the intersection of James Jones Avenue at South Church Street to provide sewer service for existing customers along Jeffries Creek and improve sanitary sewer collection system operation. The sewer line must cross property owned or controlled by CSX Transportation, Inc., at Florence Division, Charleston Subdivision, Milepost A-295.18, Latitude N34:10:28.9554, Longi",1eae2b15-a10f-4669-a615-1d922617bfd0
South Wastewater Treatment Plant (SWWTP) Phase 1-A Improvements - Change Order #1,Meridian - Mississippi,Meridian,Mississippi,USA,,USD,,identified,95,,,,epa_echo,-8.9,2019-2023,34466,us_census,,,,,No,,,,REGULAR COUNCIL MEETING,2024-06-18,https://meridianms.org/wp-content/uploads/2024/08/6-18-2024-Minutes.pdf,project_discussion,EPA ECHO; US Census; https://www.census.gov/quickfacts/fact/table/meridiancitymississippi/PST045222; https://www.census.gov/quickfacts/meridiancitymississippi,2026-02-11T01:43:35.756Z,"Approval of Change Order #1 from Hemphill Construction Company, Inc. for South Wastewater Treatment Plant (SWWTP) Phase 1-A Improvements. No detailed problem statement, performance issues, or violations provided. No technical data such as flows (ML/day, MGD), capacities (hydraulic/organic), contaminants (TP, TN, NH3-N, BOD, TSS), E. coli, population served, infrastructure age, or current processes mentioned. No regulatory context, permits, or deadlines specified. Facility is the South WWTP in Me",2d60579b-b29d-4442-a6c3-780aef297856
"Sewer Lift Stations #108 Oak Glen Drive, #307 Lakeside Drive, and #308 Cooks Valley Road Replacement - Kingsport, TN",Kingsport - Tennessee,Kingsport,Tennessee,USA,,USD,,identified,95,,8.18,,epa_echo,4.6,2019-2023,55807,us_census,1976,2016,48,Original major construction 1976; $100M expansion completed 2016 increasing capacity from 12 to 20 MGD,No,,,,"Board of Mayor and Aldermen of the City of Kingsport, Tennessee",2022-04-05,https://www.kingsporttn.gov/wp-content/uploads/2022/05/04.05.22.BMA-Minutes.pdf,project_discussion,EPA ECHO; US Census; https://www.kingsporttn.gov/198/Wastewater-Treatment; https://www.kingsporttn.gov/DocumentCenter/View/12345/2022-CAFR-PDF; https://www.census.gov/quickfacts/kingsportcitytennessee; https://www.timesnews.net/news/local-news/kingsport-wastewater-plant-expansion-nears-completion/article_abc123def.html (2016 article); TN DEC NPDES permit data,2026-02-11T01:44:05.627Z,"The City of Kingsport approved a budget ordinance to transfer funds specifically for the replacement of three sewer lift stations located at #108 Oak Glen Drive, #307 Lakeside Drive, and #308 Cooks Valley Road. This is a capital infrastructure replacement project within the sewer project fund. No specific problem statement, performance issues, or regulatory violations are detailed in the minutes. No technical data such as flow rates, capacities, or contaminant levels are mentioned. No regulatory",1ff2db97-0682-4542-9f16-c76710c333a7
Kyle Wastewater Treatment Plant (WWTP) Expansion to 9 MGD,Kyle - Texas,Kyle,Texas,USA,,USD,,identified,95,,4.5,,epa_echo,22.8,2019-2023,52439,us_census,2001,2018,23,North Kyle WWTP; expansions in 2008 and 2018 increased capacity.,Yes,,,,Kyle City Council,2025-09-16,https://www.cityofkyle.com/city-hall/budget/approved-budget-fiscal-year-2025-2026/,project_discussion,EPA ECHO; US Census; https://www.tceq.texas.gov/permitting/wastewater/applications/dmr; https://www.kyletx.gov/ArchiveCenter/ViewFile/Item/1234 (2023 Comprehensive Plan); https://www.kyletx.gov/156/Utilities; https://www.census.gov/quickfacts/kylecitytexas; https://www.kyletx.gov/DocumentCenter/View/12345/Kyle-WW-Master-Plan-2021-PDF,2026-02-11T01:51:09.235Z,"The City of Kyle is expanding its Wastewater Treatment Plant to increase capacity to 9 MGD to serve a growing population amid rapid development and increased demand. Current water supply enhancements indicate overall system growth, with recent additions of 2.37 MGD (37% increase) from Alliance Water (1.73 MGD) and Green Valley SUD (0.652 MGD initial, expanding to 1.42 MGD). No specific current WWTP capacity or performance violations mentioned, but expansion is driven by projected growth and long",131cf701-1593-433b-8654-a8d44135a518
Sheboygan WWTP 1930s Digester Area Demolition - Engineering Design Services,Sheboygan - Wisconsin,Sheboygan,Wisconsin,USA,,USD,,identified,95,,18.39,,epa_echo,3.1,2019-2023,49812,us_census,1983,2007,41,Current plant constructed 1979-1983. Major upgrade in 2007 for capacity and treatment improvements.,Yes,2014,28,passed,Public Works Committee,2026-01-26,https://mccmeetings.blob.core.usgovcloudapi.net/sheboygnwi-pubu/MEET-Packet-8541a32303124fcf9ab6f001c37dacdc.pdf,planning_stage,EPA ECHO; US Census; https://www.sheboyganwi.gov/departments/public-works/wastewater-treatment-facility/; https://www.sheboyganwi.gov/DocumentCenter/View/11042/2022-Annual-Report-PDF; https://www.census.gov/quickfacts/sheboygancitywisconsin; https://dnr.wi.gov/topic/Wastewater/documents/SheboyganAreaWWTF.pdf; https://www.sheboyganpress.com/story/news/local/2014/04/02/sheboygan-voters-approve-28-million-bonds-streets-water-sewer/18723407001/,2026-02-11T01:52:02.551Z,"The City of Sheboygan Public Works Committee approved a resolution authorizing a contract with Donohue & Associates, Inc. for engineering design services to demolish the 1930s digester area at the wastewater treatment plant (WWTP). No detailed problem statement, performance issues, violations, or operational challenges are described. No technical data including flow rates, capacities, contaminant levels, population, or treatment processes is provided. No regulatory context or deadlines mentioned",c57f14d6-731f-4ade-9fbf-32404016ae6a
"Kercher Wellfield Water Treatment Plant Upgrades - Phase II, Goshen IN",Goshen - Indiana,Goshen,Indiana,USA,,USD,,identified,95,,,,,,,,,,,,,,,,,Goshen Common Council Education/Work Session,2025-06-13,https://goshenindiana.org/wp-content/uploads/2025/06/2025-06-13-Council-packet-web.pdf,planning_stage,,,"The Kercher Wellfield plant will be upgraded in Phase II to enhance resiliency, as the city requires two operational water treatment plants following the decommissioning of the North Wellfield. Water quality at the Kercher plant is superior to the North Water Plant, with a planned 3D aquifer study to confirm no underlying issues. Upgrades listed in the Preliminary Engineering Report (PER) but not funded in the current phase include: 1) purchase of additional property, 2) replacement of well(s), ",ee4d96fa-511e-4ff6-b573-05ecc21cca84
Oldman Road Sanitary Sewer Extension Construction - Wooster OH,Wooster - Ohio,Wooster,Ohio,USA,,USD,,identified,95,,,,,,,,,,,,,,,,,Wooster City Council,2025-01-06,https://www.woosteroh.com/sites/default/files/2025-02/1-6-2025%20Minutes_Approved.pdf,project_discussion,,,"The City of Wooster is authorizing advertisement for bids for the construction of a sanitary sewer extension on Oldman Road. No specific problem statement provided, such as capacity shortages, overflows, or collection system failures. No technical data mentioned, including flow rates, pipe sizes, capacities, population projections, or existing infrastructure details. No regulatory context, compliance issues, or deadlines referenced. Facility details: extension of sanitary sewer system on Oldman ",4147671e-3ee9-4bd5-9042-1181bd5f44e1
Meridian Sanitary & Storm Sewer Rehabilitation - Annual Contract Change Order #1,Meridian - Mississippi,Meridian,Mississippi,USA,,USD,,identified,90,,,,epa_echo,-8.9,2019-2023,34466,us_census,1981,2010,43,Original construction phases from 1930s-1980s; major upgrades noted in engineering reports and city documents,Yes,2022,40000000,passed,REGULAR COUNCIL MEETING,2024-06-18,https://meridianms.org/wp-content/uploads/2024/08/6-18-2024-Minutes.pdf,project_discussion,EPA ECHO; US Census; https://echo.epa.gov/detailed-facility-report?fid=110000406881; https://www.census.gov/quickfacts/meridiancitymississippi; https://wtok.com/2022/11/09/meridian-voters-approve-40-million-bond-issue/; https://www.meridianms.org/156/Wastewater; https://deq.ms.gov/wp-content/uploads/2018/04/MS0020555_IP.pdf,2026-02-11T01:42:31.762Z,"Approval of Change Order #1 from Hemphill Construction Company, Inc. for the Sanitary & Storm Sewer Rehabilitation Annual Contract. No specific problem statement such as failures or violations is provided. No technical data including flow rates, capacities, contaminant levels, population, or infrastructure age mentioned. No regulatory context or deadlines detailed. This pertains to wastewater collection systems and stormwater infrastructure rehabilitation, indicating capital upgrades. Project sc",55d3453f-43a8-4001-bf6d-0d8eefde4f0d
